Новые 3d очки vr box 2. 0 по супер цене,350 KGS,/bishkek/ads/novye-3d-ocki-vr-box-2-0-po-super-cene-id-31405694
Мобильный Геймпад PUBG W10 Бишкек,499 KGS,/bishkek/ads/mobilnyj-gejmpad-pubg-w10-biskek-id-53894729
"Телефоны в кредит,без первоначального",17 000 KGS,/bishkek/ads/telefony-v-kreditbez-pervonacalnogo-id-53972032
Продаю️Airpods i7-mini TWS,890 KGS,/bishkek/ads/prodauairpods-i7-mini-tws-id-55441034
Продаю или меняю Nokia E72 на  Nokia 7373 ( в хорошем состоянии),3 500 KGS,/bishkek/ads/prodau-ili-menau-nokia-e72-na-nokia-7373-v-horosem-sostoanii-id-49836012
Батарейка на нокиа,50 KGS,/bishkek/ads/batarejka-na-nokia-id-43235708
Продаю айфон 6 64гб ,9 500 KGS,/bishkek/ads/prodau-ajfon-6-64gb-id-53182534
,,
Продам EarPods от iPhone X с коробки.,1 999 KGS,/bishkek/ads/prodam-earpods-ot-iphone-x-s-korobki-id-52319446
Нокия бу,700 KGS,/bishkek/ads/nokia-bu-id-52800630
Сяоми amazfit pace,103 USD,/bishkek/ads/saomi-amazfit-pace-id-53595474
"Продам номер, оператора О! 0 707 44 44 00",4 000 KGS,/bishkek/ads/prodam-nomer-operatora-o-0-707-44-44-00-id-38098959
ПРОДАЮ СЕНСОР ДИСПЛЕЙ В СБОРЕ НА,1 500 KGS,/bishkek/ads/prodau-sensor-displej-v-sbore-na-id-52617142
1)Коробка от телефона samsung grand2,150 KGS,/bishkek/ads/1korobka-ot-telefona-samsung-grand2-id-49493910
ПРОДАЮ DOOGEE VOYAGER DG 310 СОСТОЯНИЕ ОТЛИЧНОЕ,2 500 KGS,/bishkek/ads/prodau-doogee-voyager-dg-310-sostoanie-otlicnoe-id-48908225
Продаю ИЛИ НА ЗАПЧАСТИ КАМЕРА НЕ,2 000 KGS,/bishkek/ads/prodau-ili-na-zapcasti-kamera-ne-id-46328068
Продаю iPhone X 256gb Silver,54 000 KGS,/bishkek/ads/prodau-iphone-x-256gb-silver-id-55153044
ПРОДАЮ ИЛИ МЕНЯЮ ВАРИАНТЫ  NOKIA E,1 500 KGS,/lebedinovka/ads/prodau-ili-menau-varianty-nokia-e-id-45258221
ПРОДАЮ ДВА ТЕЛЕФОНА НА ЗАПЧАСТИ ,500 KGS,/bishkek/ads/prodau-dva-telefona-na-zapcasti-id-51656262
ПРОДАЮ NOKIA E6 В РАБОЧЕМ СОСТОЯНИИ,1 500 KGS,/bishkek/ads/prodau-nokia-e6-v-rabocem-sostoanii-id-51656635
Продаю срочно Sony Xperia U в полностью рабочем состоянии,2 000 KGS,/bishkek/ads/prodau-srocno-sony-xperia-u-v-polnostu-rabocem-sostoanii-id-54360809
Продаю или меняю на телефон или,1 000 KGS,/lebedinovka/ads/prodau-ili-menau-na-telefon-ili-id-43962410
RedMi 5 16 gb (GLOBAL VERSION),7 290 KGS,/bishkek/ads/redmi-5-16-gb-global-version-id-55513986
Обменяю Samsung Galaxy S9 на iPhone 7+ или 8+ сост,Договорная,/bishkek/ads/obmenau-samsung-galaxy-s9-na-iphone-7-ili-8-sost-id-55397027
